Part Groups (Parts that are similar enough to be lumped together and create rules for expected result),,,,
Liner,,,,
091-30117-082,Liner,,,
091-30117-084,Liner,,,
091-30117-073,Corner Liner,,,
091-30119-006,Wall Seal-Off Angle,,,
091-30119-007,Roof Seal-Off Angle,,,
External Skin,,,,
091-30117-083,Skin,,,
091-30117-081,Skin,,,
091-30117-177,Tiering Seal Angle,,,
Structural,,,,
091-30117-186,Structural Steel Channel,,,
091-30117-187,Structural Steel Angle,,,
091-30117-188,Structural Aluminum Channel,,,
091-30117-189,Structural Aluminum Angle,,,
091-30117-066,Lifting Lug,,,
091-30117-067,Filler Plate,,,
091-30117-190,Filler Plate Aluminum,,,
Roof Trim,,,,
091-30117-001,Variable Roof Corner Cap,,,
091-30117-058,Roof Cap,,,
091-30117-072,Corner Cap,,,
091-30117-074,Sloped Roof Cap,,,
Misc Trim,,,,
091-30117-076,Peaked Roof Split Cover,,,
091-30117-011,Roof Cap Split Cover,,,
091-30117-057,Tiering Angle,,,
091-30117-049,Wall Attachment Angle,,,
091-30117-053,Formed Angle,,,
091-30117-022,Super Angle,,,
091-30117-195,Stacked Roof Cap Backup,,,
091-30117-196,SST Channel Cap,,,
Standard Channel,,,,
091-30117-064,Horizontal Channel,,,Match the wall thickness for material code (Doing this already)
091-30117-065,Vertical Channel,,,Match the wall thickness for material code (Doing this already)
091-30117-085,Indoor Horizontal Channel,,,Match the wall thickness for material code (Doing this already)
091-30117-086,Indoor Vertical Channel,,,Match the wall thickness for material code (Doing this already)
091-30117-078,Coil Panel Nesting Channel,,,"Does not automate, should match channel material without the 2, 3, or 4 (STL GALV, essentially but do not want to discount the chance that we add SST304 later..)"
091-30117-048,Door Nesting Channel,,,"Should match the material of channel without the 2, 3, or 4 (STL GALV, essentially but do not want to discount the chance that we add SST304 later..)"
091-30117-046,Channel Bracket,,,"Should match the material of channel without the 2, 3, or 4 (STL GALV, essentially but do not want to discount the chance that we add SST304 later..)"
091-30117-077,Channel Bracket,,,"Should match the material of channel without the 2, 3, or 4 (STL GALV, essentially but do not want to discount the chance that we add SST304 later..)"
Sloped Channel,,,,
091-30117-068,Outdoor Low Side Horizontal Channel,,,
091-30117-069,Outdoor High Side Horizontal Channel,,,
091-30117-070,Outdoor Vertical Channel,,,
Floor Skin,,,,
091-30117-056,Floor,,,
091-30117-124,Electrical/Pipe Chase Cover,,,
Sub-Floor,,,,
091-30117-080,Sub Floor,,,
091-30117-061,Sub Floor Attachment Angle,,,
091-30117-062,Sub Floor Attachment Flat,,,
Split Cover,,,,
091-30117-075,Roof Unit Split Cover,,,
091-30117-087,Wall Unit Split Cover,,,
091-30117-089,Roof Thermal Break Split Cover,,,
Formed Channel,,,,
091-30117-051,Formed Channel,,,
Perimeter Angle,,,,
091-30117-054,Perimeter Angle,,,
091-30117-055,Corridor Perimeter Angle,,,
Can be Aluminum Attachment Angle or Floor Drain Support Angle,,,,
091-30117-079,Formed Angle,,,
